playername,gamesplayed,groundouts,airouts,runs,doubles,triples,homeruns,strikeouts,baseonballs,intentionalwalks,hits,hitbypitch,avg,atbats,obp,slg,ops,caughtstealing,stolenbases,stolenbasepercentage,groundintodoubleplay,numberofpitches,plateappearances,totalbases,rbi,leftonbase,sacbunts,sacflies,babip,groundoutstoairouts,catchersinterference,atbatsperhomerun,numtimesinjured,gamesstarted,era,inningspitched,wins,losses,saves,saveopportunities,holds,blownsaves,earnedruns,whip,battersfaced,outs,gamespitched,completegames,shutouts,strikes,strikepercentage,hitbatsmen,balks,wildpitches,pickoffs,winpercentage,pitchesperinning,gamesfinished,strikeoutwalkratio,strikeoutsper9inn,walksper9inn,hitsper9inn,runsscoredper9,homerunsper9,inheritedrunners,inheritedrunnersscored
Andrés Chaparro,27,24,32,11,10,0,4,21,6,0,23,3,0.23,100,0.294,0.45,0.744,1,1,0.5,3,436,109.0,45,14.0,37.0,0,0,0.253,0.75,0,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ Abrams,134,121,160,77,27,6,20,125,39,3,126,15,0.239,527,0.308,0.427,0.735,12,29,0.707,4,2207,586.0,225,65.0,178.0,1,4,0.275,0.76,0,26.35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJ Herz,17,62,81,37,10,1,11,98,30,0,67,3,0.219,306,0.294,0.366,0.66,0,1,1.0,3,1422,0.0,112,0.0,0.0,1,1,0.0,0.77,1,Unknown,0,17.0,3.7,80.1,4.0,7.0,0.0,0.0,0.0,0.0,33.0,1.21,342.0,241.0,17.0,0.0,0.0,920.0,0.65,3.0,1.0,5.0,0.0,0.364,17.7,0.0,3.27,10.98,3.36,7.51,4.15,1.23,0.0,0.0
Darren Baker,3,1,0,0,0,0,0,2,0,0,1,0,0.25,4,0.25,0.25,0.5,0,0,.---,0,12,4.0,1,0.0,2.0,0,0,0.5,1.0,0,-.--,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Law,67,94,72,31,11,1,7,65,21,0,78,1,0.257,303,0.303,0.37,0.673,0,6,1.0,11,1223,0.0,112,0.0,0.0,1,5,0.0,1.31,0,Unknown,1,0.0,2.89,81.0,7.0,4.0,1.0,5.0,14.0,4.0,26.0,1.22,331.0,243.0,67.0,0.0,0.0,798.0,0.65,1.0,0.0,6.0,0.0,0.636,15.1,7.0,3.1,7.22,2.33,8.67,3.44,0.78,33.0,21.0
Drew Millas,16,12,11,7,1,0,1,10,3,0,11,0,0.25,44,0.298,0.341,0.639,0,4,1.0,1,183,47.0,15,1.0,10.0,0,0,0.303,1.09,0,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Crews,16,21,14,8,3,0,3,13,6,0,15,0,0.242,62,0.304,0.435,0.739,1,8,0.889,1,266,69.0,27,8.0,28.0,0,1,0.255,1.5,0,20.67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eduardo Salazar,20,31,18,5,3,0,1,23,13,0,23,1,0.242,95,0.339,0.305,0.644,2,3,0.6,3,408,0.0,29,0.0,0.0,0,0,0.0,1.72,0,Unknown,0,0.0,1.08,25.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.44,109.0,75.0,20.0,0.0,0.0,243.0,0.6,1.0,0.0,0.0,0.0,0.0,16.32,3.0,1.77,8.28,4.68,8.28,1.8,0.36,12.0,5.0
Ildemaro Vargas,90,98,69,21,16,0,1,29,17,0,65,2,0.257,253,0.304,0.332,0.636,4,8,0.667,8,983,280.0,84,29.0,103.0,4,4,0.282,1.42,0,253.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Barnes,58,55,72,33,12,1,9,52,17,1,61,0,0.26,235,0.304,0.434,0.738,1,7,0.875,10,1052,0.0,102,0.0,0.0,0,5,0.0,0.76,0,Unknown,0,0.0,4.38,61.2,8.0,2.0,0.0,3.0,2.0,3.0,30.0,1.26,257.0,185.0,58.0,0.0,0.0,665.0,0.63,0.0,0.0,3.0,0.0,0.8,17.06,3.0,3.06,7.59,2.48,8.9,4.82,1.31,23.0,6.0
Jacob Young,136,141,94,73,23,1,3,93,27,0,110,12,0.257,428,0.318,0.336,0.654,8,32,0.8,9,1784,477.0,144,35.0,155.0,8,2,0.32,1.5,0,142.67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Irvin,30,179,172,85,36,3,26,145,44,1,160,4,0.245,653,0.296,0.429,0.725,4,4,0.5,17,2803,0.0,280,0.0,0.0,2,1,0.0,1.04,0,Unknown,0,30.0,4.19,172.0,10.0,12.0,0.0,0.0,0.0,0.0,80.0,1.19,704.0,516.0,30.0,0.0,0.0,1831.0,0.65,4.0,1.0,5.0,0.0,0.455,16.3,0.0,3.3,7.59,2.3,8.37,4.45,1.36,0.0,0.0
James Wood,64,60,33,35,11,3,5,80,32,1,65,2,0.273,238,0.364,0.408,0.772,7,12,0.632,1,1126,272.0,97,34.0,98.0,0,0,0.392,1.82,0,47.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe La Sorsa,9,9,9,8,0,0,3,9,3,1,13,1,0.342,38,0.395,0.579,0.974,1,3,0.75,0,161,0.0,22,0.0,0.0,1,1,0.0,1.0,0,Unknown,0,0.0,7.45,9.2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.66,44.0,29.0,9.0,0.0,0.0,112.0,0.7,1.0,0.0,0.0,1.0,.---,16.66,1.0,3.0,8.38,2.79,12.1,7.45,2.79,6.0,2.0
