playername,gamesplayed,groundouts,airouts,runs,doubles,triples,homeruns,strikeouts,baseonballs,intentionalwalks,hits,hitbypitch,avg,atbats,obp,slg,ops,caughtstealing,stolenbases,stolenbasepercentage,groundintodoubleplay,numberofpitches,plateappearances,totalbases,rbi,leftonbase,sacbunts,sacflies,babip,groundoutstoairouts,catchersinterference,atbatsperhomerun,numtimesinjured,gamesstarted,era,inningspitched,wins,losses,saves,saveopportunities,holds,blownsaves,earnedruns,whip,battersfaced,outs,gamespitched,completegames,shutouts,strikes,strikepercentage,hitbatsmen,balks,wildpitches,pickoffs,winpercentage,pitchesperinning,gamesfinished,strikeoutwalkratio,strikeoutsper9inn,walksper9inn,hitsper9inn,runsscoredper9,homerunsper9,inheritedrunners,inheritedrunnersscored
Aaron Judge,146.0,78.0,120.0,111.0,33.0,1.0,52.0,157.0,120.0,19.0,167.0,9.0,.321,520.0,.455,.688,1.143,0.0,8.0,1.000,22.0,2652.0,652.0,358.0,130.0,223.0,0.0,2.0,.367,0.65,1.0,10.00,0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0
Alex Verdugo,140.0,178.0,148.0,70.0,28.0,1.0,12.0,90.0,48.0,0.0,125.0,1.0,.236,530.0,.295,.360,.655,1.0,1.0,.500,12.0,2227.0,590.0,191.0,58.0,253.0,1.0,10.0,.258,1.20,0.0,44.17,0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0
Anthony Rizzo,82.0,88.0,92.0,34.0,10.0,0.0,8.0,57.0,23.0,0.0,67.0,7.0,.222,302.0,.290,.334,.624,0.0,0.0,.---,6.0,1263.0,334.0,101.0,31.0,127.0,0.0,2.0,.247,0.96,0.0,37.75,1,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0
Anthony Volpe,147.0,169.0,138.0,87.0,27.0,7.0,11.0,144.0,38.0,1.0,147.0,4.0,.248,593.0,.296,.373,.669,5.0,26.0,.839,8.0,2584.0,641.0,221.0,55.0,231.0,2.0,3.0,.308,1.22,1.0,53.91,0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0
Austin Wells,104.0,69.0,98.0,39.0,16.0,1.0,13.0,78.0,42.0,0.0,79.0,4.0,.250,316.0,.339,.430,.769,2.0,1.0,.333,6.0,1435.0,370.0,136.0,50.0,162.0,1.0,7.0,.284,0.70,0.0,24.31,0,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0
Carlos Rodón,29.0,99.0,187.0,77.0,30.0,4.0,28.0,181.0,50.0,0.0,142.0,10.0,.234,607.0,.302,.435,.737,3.0,18.0,.857,6.0,2829.0,0.0,264.0,0.0,0.0,0.0,2.0,Unknown,0.53,0.0,Unknown,0,29.0,4.15,158.1,14.0,9.0,0.0,0.0,0.0,0.0,73.0,1.21,669.0,475.0,29.0,0.0,0.0,1804.0,.640,10.0,2.0,3.0,1.0,.609,17.87,0.0,3.62,10.29,2.84,8.07,4.38,1.59,0.0,0.0
Clarke Schmidt,13.0,61.0,65.0,21.0,9.0,2.0,7.0,74.0,22.0,0.0,58.0,6.0,.227,256.0,.301,.359,.660,7.0,4.0,.364,8.0,1180.0,0.0,92.0,0.0,0.0,0.0,2.0,Unknown,0.94,0.0,Unknown,2,13.0,2.41,71.0,5.0,3.0,0.0,0.0,0.0,0.0,19.0,1.13,286.0,213.0,13.0,0.0,0.0,744.0,.630,6.0,0.0,1.0,1.0,.625,16.62,0.0,3.36,9.38,2.79,7.35,2.66,0.89,0.0,0.0
Clay Holmes,60.0,74.0,33.0,28.0,11.0,0.0,3.0,63.0,19.0,1.0,56.0,3.0,.251,223.0,.315,.341,.656,1.0,4.0,.800,4.0,1002.0,0.0,76.0,0.0,0.0,0.0,3.0,Unknown,2.24,0.0,Unknown,0,0.0,3.28,57.2,3.0,5.0,29.0,41.0,0.0,12.0,21.0,1.30,248.0,173.0,60.0,0.0,0.0,653.0,.650,3.0,0.0,4.0,0.0,.375,17.38,48.0,3.32,9.83,2.97,8.74,4.37,0.47,27.0,9.0
Gerrit Cole,14.0,53.0,82.0,30.0,13.0,1.0,11.0,85.0,24.0,0.0,69.0,3.0,.239,289.0,.304,.405,.709,2.0,12.0,.857,4.0,1266.0,0.0,117.0,0.0,0.0,0.0,0.0,Unknown,0.65,0.0,Unknown,1,14.0,3.36,75.0,6.0,4.0,0.0,0.0,0.0,0.0,28.0,1.24,316.0,225.0,14.0,0.0,0.0,830.0,.660,3.0,0.0,0.0,0.0,.600,16.88,0.0,3.54,10.20,2.88,8.28,3.60,1.32,0.0,0.0
Giancarlo Stanton,104.0,77.0,91.0,44.0,17.0,0.0,25.0,128.0,32.0,0.0,89.0,2.0,.232,384.0,.294,.471,.765,0.0,0.0,.---,15.0,1671.0,419.0,181.0,62.0,190.0,0.0,1.0,.276,0.85,0.0,15.36,1,0.0,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0
